Entry_Number,Sentence_Number,Cleaned_Text,Category,Subcategory,Nazi,Beautiful,Sexual/body
1,1,"Heute, den 6. Dez. 1932 hatten wir Nikolaustag.",Temp/Spat,Temp/Spat,,,
1,2,Es war sehr nett.,Reflection,Social,,,
1,3,"Besonders vorher, denn ich war zuerst bei Schwarzes und mir die schwarze Samthose von Metha abgeholt.",Event,Social,,,
1,4,Franz war da und hat mir Torte & Schoko gegeben.,Event,Social,,,
1,5,"Er sagte, ich müsse unbedingt abnehmen.",Event,Social,,,
1,6,Einige ubrigen gibte er mir.,Event,Social,,,
1,7,Ich musste mich auf den Boden legen & bekam einen Sandsack auf den Bauch zum Turnen.,Event,Social,,,
1,8,"Ich wartete auf ihn beim Weggehen, da er ein Stuck mit mir gehen wollte.",Event,Romantic,,,
1,9,Ich verabschiedete mich von Metha & Funke mit Franz im Aufzug hinunter.,Event,Social,,,
1,10,"Im Aufzug, ich weiss garnichtmehr wie das ging, da hatte ich einen Kuss von ihm.",Event,Romantic,,,
1,11,"Da ich doch so in ihn verknallt bin, legte ich meine Hand auf seine Schultern.",Event,Romantic,,,
1,12,"Er legte seine Nase auf meine Backe, doch da wachte ich erst auf & wußte was ich mache.",Event,Romantic,,,
1,13,Sofort ließ ich meine Hand herunter & machte mich ab.,Event,Romantic,,,
1,14,"Schön war das machen nun ist es zu ende, den wir waren im Parterre!",Reflection,Romantic,,,
1,15,"Wir taten, als ob nichts gewesen wäre & er ging mit mir bis an die Otto Beckstr., denn ich ging zur Vera Meier mein erster Kuss von jemand in den ich verknallt bin, der aber leider verheiratet ist & eine süße Frau hat.",Reflection,Romantic,,,
1,16,Du warst mein schönstes (bis jetzt) Erlebnis!!!,Reflection,Romantic,,,
1,17,Mausi!!,Reflection,Romantic,,,
2,18,Ein neuer Zeitabschnitt meines Lebens beginnt!!,Temp/Spat,Temp/Spat,,,
2,19,"Ostern 1933 nach Braunschweig
Am Tag im Geschäft, dann nach dem Abendbrot ins Korso und dann ins Bett.",Temp/Spat,Temp/Spat,,,
2,19,,Event,Social,,,
2,20,Doch mein Vater verreiste &  wir gingen auf die Masch.,Event,Social,,,
2,21,Das alte Lied fand hier eine Unterbrechung.,Reflection,Romantic,,,
2,22,es war Mittwoch den 14. Juni 1933 als ich Hans Mommertz Das erste Mal sah.,Temp/Spat,Temp/Spat,,,
2,22,,Event,Romantic,,,
2,23,Er sah mich mit einen ersten Blick fest an und ich lag auch in seinen Augen.,Event,Romantic,,,
2,24,Wir gingen weiter & er stiefelte uns nach.,Event,Romantic,,,
2,25,"Aus der Elektrischen lachte ich ihm zu, Als er mir winkte.",Event,Romantic,,,
2,26,Freitag waren wir wieder auf der Masch & zwar in der roten Küche.,Temp/Spat,Temp/Spat,,,
2,26,,Event,Social,,,
2,27,Er kam rein & tanzte mit mir.,Event,Romantic,,,
2,28,Er wollte wissen wer ich bin usw.,Event,Romantic,,,
2,29,"Er lud mich zur Damen-kneipe ein, wenn ich dürfe [54] ",Event,Romantic,,,
2,30,Den Abend danach gingen Mommertz & ich alleine in die geisterbahn.,Event,Romantic,,,
2,31,Ich war sehr überrascht als nichts geschah.,Reflection,Romantic,,,
2,32,So saßen wir [DRAWING of two people facing each other] in unseren karren.,Event,Romantic,,,
2,33,Er lieferte mich bei meiner Mutter ab & stellte sich vor.,Event,Romantic,,,
2,34,Wir verabredeten uns auf Donnerstag.,Event,Romantic,,,
2,35,In Holst Garten trank ich Tee & er trank Bier.,Event,Romantic,,,
2,36,Mit Attila unterhielten wir uns über die Kneipe.,Event,Social,,,
3,37,Er holte mich um ¾ 8 Uhr von daheim ab.,Event,Romantic,,,
3,38,"Krawatte offen, denn die wurde erst im Holst’s Garten gebunden.",Event,Romantic,,,
3,39,Er stellte mich dort vor.,Event,Romantic,,,
3,40,Leider saß ich sehr viel alleine da er die Drahtkommode bedienen musste.,Event,Social,,,
3,41,Ich trank natürlich kein Bier.,Event,Social,,,
3,42,"Bei der “Fidelität” gab es Bowle, bei der wir “Bruderschaft” tranken.",Event,Social,,,
3,43,"Es waren sonst noch ganz nette Boys da, aber Mommertz war ja sooo eifersüchtig, was er mir gleich beichtete.",Event,Social,,,
3,44,Die zeit verging im Flug.,Reflection,Temporal,,,
3,45,Ich war angeheitert & wir gingen auf den Gang zu den anderen die müde waren.,Event,Social,,,
3,46,"mit Nicki tanzte ich, aber nur allzuschnell war die Stunde vorbei.",Event,Social,,,
3,47,ich forderte “Nicki” &  seine  Couleurdame “Trina”  auch mit uns zu gehen.,Event,Social,,,
3,48,Sie Schlugen ab & Hans war über meine Handlung einfach empört.,Event,Romantic,,,
3,49,Nach langen Zaudern & einem  inneren heftigen Kampf ging ich mit ihm alleine durch den Park heim.,Event,Romantic,,,
3,50,"An der einen Bank,  da dachte ich so an den Abend vorher, an den ich mit Finke im Kino war.",Event,Romantic,,,
3,51,"er nahm meine Hände, dann streichelte er liebkosend meine Haare & nahm  meinen Kopf in seine Hände.",Event,Romantic,,,
3,52,"Ich legte meinen Kopf an seine Brust, & begann zu weinen den der Moralische war noch nicht weg.",Event,Romantic,,,
3,53,"Ich dachte so an Finke & schämte mich vor mir vor ihm, vor meiner Mutter überhaupt, vor dem heller werdenden Tag.",Reflection,Romantic,,,
3,54,"Auf einmal, als er besonders lieb zu mir war, da nahm ich seinen Kopf & küsste ihn.",Event,Romantic,,,
3,55,Ein langer Seufzer & mein erster kuss war einen Jungen getätigt.,Event,Romantic,,,
3,56,"Doch er küsste mein Hals d.h. meinen Nacken, wahrend ich seine Hände küsste.",Event,Romantic,,,
3,57,So verstrich die zeit.,Reflection,Temporal,,,
3,58,"Doch als ich merkte dass es so spät ist, reute es mich nicht, denn es war mein erstes süßes Erlebnis & Geheimnis, meine erste Liebe.",Reflection,Romantic,,,
4,59,"Ein neuer Zeitabschnitt meines Lebens beginnt, doch eigentlich schon am 23. Juni Freitag meine Mutter, Frl.",Reflection,Temporal,,,
4,60,Lüddecke & ich wollten ins Kino.,Event,Social,,,
4,61,"Am Brunings Saalbau rief Finke herüber & kam an, ob ich nicht mit ihm ins Kino gehen werde, da er eine Freikarte (Ehrenkarte) für 2 Personen habe.",Event,Romantic,,,
4,62,"Na, ja ich ging ahnungslos & arglos mit.",Event,Romantic,,,
4,63,Bot F. öfters etwas an das er später nur aus Meiner Hand nicht aus der tute nahm.,Event,Romantic,,,
4,64,Dabei hielt er meine Hand fest.,Event,Romantic,,,
4,65,"Da schaute er mir manchesmals so tief in die Augen, Dass ich so richtig einen Moralischen Koller bekam.",Event,Romantic,,,
4,66,"Das stuck “S.A. Mann Brand” war nun auch so traurig, so dass die hellen tränen über die wangen rieselten.",Event,Political,YES,,
4,66,,Event,Social,,,
4,67,Finke nahm dann meinen Arm und meinte es sei 1. Frech gewesen mich von meiner Mutter so wegzunehmen & 2. Sei das Stuck doch etwas zu ernst für mich.,Event,Romantic,,,
4,68,"Ich finde aber, dass es garnicht schadet, wenn man mal so Alles von der Leber wegheult.",Reflection,Social,,,
4,69,"Ich kann so selten heulen und wen dann, na dann tuchtig!",Reflection,Social,,,
4,70,"Ich nahm dann auch seine hand, etc doch leider geht auch das längste Stuck einmal zu Ende, und so war Finke der mann, bei dem ich zum ersten mal so etwas wie Verehrung und Ruhrung, Mitleid & zugleich geborgenheit empfand.",Reflection,Romantic,,,
4,71,Noch nie war ich so überhaupt mit einen Herrn im Kino.,Reflection,Romantic,,,
4,72,Danach gingen wir ins Korso.,Event,Romantic,,,
4,73,"Finke bekam seinen Moralischen u. Ging 1 stunde weg, um 2 Bier zu trinken.",Event,Romantic,,,
4,74,Brachte uns dann schön heim.,Event,Romantic,,,
4,75,So rasch vergesse ich diesen Kino-stuck bestimmt nicht.,Reflection,Romantic,,,
4,75,,Reflection,Political,,,
5,76,"Heute, den 29. Juni 1933 Wie üblich nach dem Essen im Korso.",Temp/Spat,Temp/Spat,,,
5,76,,Event,Social,,,
5,77,Da der Tisch so voll war setze Finke seinen Sessel neben meinen.,Event,Romantic,,,
5,78,Unter dem Tisch ging es dann los.,Event,Romantic,,,
5,79,"Erst ganz leise, dann fester mit dem Schuh, dann mit den Knien.",Event,Romantic,,,
5,80,Auf einmal nimmt er meine Hand unter dem Tisch.,Event,Romantic,,,
5,81,"Die Augen verrieten nur machesmal daß er sehr traurig war, sogar recht unglücklich war.",Event,Romantic,,,
5,82,"Einige Andeutungen machte er, die ich aber nicht verstand.",Event,Romantic,,,
5,83,Wir gingen dann schön heim & der gute Manne Finke brachte uns bis vor die Tür.,Event,Social,,,
6,84,"Heute den 30. Juni 1933 Frau Lüddecke war im Korso bei uns am Tisch, als Finke kommt.",Temp/Spat,Temp/Spat,,,
6,84,,Event,Social,,,
6,85,Sie wollte ein Bier trinken & Finke sagte er auch.,Event,Social,,,
6,86,Mutti sollte aber mit.,Event,Social,,,
6,87,Mutti & ich gingen auch mit ins Pschorr.,Event,Social,,,
6,88,Als wir reinkommen war Bierwirth da.,Event,Social,,,
